Kind,Name,File,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgEssentialStrictModified,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariableInternal,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariableProtectedInternal,CountDeclInstanceVariablePublic,CountDeclLibunit,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodInternal,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodProtectedInternal,CountDeclMethodPublic,CountDeclMethodStrictPrivate,CountDeclMethodStrictPublished,CountDeclModule,CountDeclProgunit,CountDeclProperty,CountDeclPropertyAuto,CountDeclSubprogram,CountInput,CountLine,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountLineInactive,CountLinePreprocessor,CountLine_Html,CountLine_Javascript,CountLine_Php,CountOutput,CountPackageCoupled,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtEmpty,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,EssentialStrictModified,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxEssentialStrictModified,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,SumEssentialStrictModified
File,"/home/git/sonar plugins/sonar-quamoco-plugin/src/main/java/net/siliconcode/sonar/quamoco/QuamocoConstants.java",/home/git/sonar plugins/sonar-quamoco-plugin/src/main/java/net/siliconcode/sonar/quamoco/QuamocoConstants.java,,,,,,,0,0,0,0,,0,0,0,0,,,,1,0,0,,,,0,0,12,,,,,,,0,,,0,,,0,0,,0,,,,,,,,,49,5,,,,15,14,12,,,29,,,,,,,,,,,,13,14,14,,,,0,,,,,,,,,0,0,0,0,,,,0,,,1.93,0,0,0,0,
File,"/home/git/sonar plugins/sonar-quamoco-plugin/src/main/java/net/siliconcode/sonar/quamoco/QuamocoMeasureComputer.java",/home/git/sonar plugins/sonar-quamoco-plugin/src/main/java/net/siliconcode/sonar/quamoco/QuamocoMeasureComputer.java,,,,,,,3,3,3,1,,17,1,12,3,,,,1,0,1,,,,21,21,7,,,,,,,21,,,6,,,2,10,,3,,,,,,,,,489,58,,,,318,109,189,,,115,,,,,,,,,,,,172,245,116,,,,129,,,,,,,,,15,15,15,4,,,,5,,,0.36,66,64,70,30,
File,"/home/git/sonar plugins/sonar-quamoco-plugin/src/main/java/net/siliconcode/sonar/quamoco/QuamocoMetrics.java",/home/git/sonar plugins/sonar-quamoco-plugin/src/main/java/net/siliconcode/sonar/quamoco/QuamocoMetrics.java,,,,,,,2,2,2,1,,9,0,8,0,,,,1,0,0,,,,4,4,1,,,,,,,4,,,0,,,0,0,,4,,,,,,,,,94,11,,,,49,25,24,,,34,,,,,,,,,,,,26,35,24,,,,11,,,,,,,,,3,3,3,1,,,,1,,,0.69,6,6,6,4,
File,"/home/git/sonar plugins/sonar-quamoco-plugin/src/main/java/net/siliconcode/sonar/quamoco/QuamocoPlugin.java",/home/git/sonar plugins/sonar-quamoco-plugin/src/main/java/net/siliconcode/sonar/quamoco/QuamocoPlugin.java,,,,,,,1,1,1,1,,7,1,6,0,,,,1,0,0,,,,1,1,0,,,,,,,1,,,0,,,0,0,,1,,,,,,,,,61,7,,,,20,15,4,,,34,,,,,,,,,,,,13,15,13,,,,2,,,,,,,,,1,1,1,1,,,,0,,,1.70,1,1,1,1,
File,"/home/git/sonar plugins/sonar-quamoco-plugin/src/main/java/net/siliconcode/sonar/quamoco/QuamocoRulesDefinition.java",/home/git/sonar plugins/sonar-quamoco-plugin/src/main/java/net/siliconcode/sonar/quamoco/QuamocoRulesDefinition.java,,,,,,,2,2,2,1,,10,2,8,0,,,,1,0,0,,,,2,2,1,,,,,,,2,,,0,,,1,0,,1,,,,,,,,,66,11,,,,25,13,11,,,30,,,,,,,,,,,,13,18,12,,,,6,,,,,,,,,2,2,2,1,,,,1,,,1.20,3,3,3,2,
File,"/home/git/sonar plugins/sonar-quamoco-plugin/src/main/java/net/siliconcode/sonar/quamoco/QuamocoSensor.java",/home/git/sonar plugins/sonar-quamoco-plugin/src/main/java/net/siliconcode/sonar/quamoco/QuamocoSensor.java,,,,,,,1,1,1,1,,9,1,8,0,,,,1,0,1,,,,7,7,2,,,,,,,7,,,0,,,2,3,,2,,,,,,,,,113,17,,,,57,30,27,,,39,,,,,,,,,,,,36,41,28,,,,13,,,,,,,,,2,2,2,1,,,,1,,,0.68,9,9,9,7,
File,"/home/git/sonar plugins/sonar-quamoco-plugin/src/main/java/net/siliconcode/sonar/quamoco/computers/CSharpComputer.java",/home/git/sonar plugins/sonar-quamoco-plugin/src/main/java/net/siliconcode/sonar/quamoco/computers/CSharpComputer.java,,,,,,,1,1,1,1,,4,0,4,0,,,,1,0,3,,,,6,6,0,,,,,,,6,,,0,,,0,4,,2,,,,,,,,,125,13,,,,50,31,18,,,62,,,,,,,,,,,,29,38,27,,,,11,,,,,,,,,2,2,2,1,,,,1,,,1.24,7,7,7,6,
File,"/home/git/sonar plugins/sonar-quamoco-plugin/src/main/java/net/siliconcode/sonar/quamoco/computers/JavaComputer.java",/home/git/sonar plugins/sonar-quamoco-plugin/src/main/java/net/siliconcode/sonar/quamoco/computers/JavaComputer.java,,,,,,,1,1,1,1,,5,0,4,0,,,,1,0,3,,,,6,6,0,,,,,,,6,,,0,,,0,4,,2,,,,,,,,,125,13,,,,51,31,19,,,61,,,,,,,,,,,,30,39,27,,,,12,,,,,,,,,2,2,2,1,,,,1,,,1.20,7,7,7,6,
File,"/home/git/sonar plugins/sonar-quamoco-plugin/src/main/java/net/siliconcode/sonar/quamoco/computers/package-info.java",/home/git/sonar plugins/sonar-quamoco-plugin/src/main/java/net/siliconcode/sonar/quamoco/computers/package-info.java,,,,,,,0,0,0,0,,0,0,0,0,,,,0,0,0,,,,0,0,0,,,,,,,0,,,0,,,0,0,,0,,,,,,,,,23,1,,,,0,0,0,,,22,,,,,,,,,,,,1,1,1,,,,0,,,,,,,,,0,0,0,0,,,,0,,,0.00,0,0,0,0,
File,"/home/git/sonar plugins/sonar-quamoco-plugin/src/main/java/net/siliconcode/sonar/quamoco/detectors/CSharpQuamocoDetector.java",/home/git/sonar plugins/sonar-quamoco-plugin/src/main/java/net/siliconcode/sonar/quamoco/detectors/CSharpQuamocoDetector.java,,,,,,,1,1,1,1,,4,0,4,0,,,,1,0,0,,,,1,1,0,,,,,,,1,,,0,,,0,0,,1,,,,,,,,,49,5,,,,12,9,1,,,32,,,,,,,,,,,,7,9,8,,,,1,,,,,,,,,1,1,1,1,,,,0,,,2.67,1,1,1,1,
